species,Qx,Qy,Δ(Qy-Qx)
Neutral,15809.507883852917,18605.764619560716,2796.2567357077987
Anion,15377.313955730126,18217.35805925204,2840.0441035219155
Scenario 1,16072.235245140575,18529.557088754784,2457.3218436142074
Scenario 2,16154.94437596093,18656.425331215334,2501.4809552544043
Scenario 3,16109.942742508232,18639.906670378572,2529.963927870339
Dianion,15471.82945895896,18123.06138882976,2651.231929870797
Scenario 4,16151.748510152453,18702.06586747657,2550.317357324118
