species,Qx,Qy,Δ(Qy-Qx)
neutral,15782.623208955301,18581.26124478048,2798.6380358251763
anion,15386.853628846527,18223.52408545522,2836.670456608693
scenario1,16078.108021405216,18538.007845063068,2459.899823657854
scenario2,16159.244508764335,18655.45082914515,2496.206320380814
scenario3,16123.684490814685,18653.221144521915,2529.5366537072314
dianion,15471.39787299833,18135.209507870393,2663.8116348720628
scenario4,16159.881987348284,18707.254542162333,2547.372554814048
